circuit,inputs,outputs,abc_map,primitive,naive_steps,opt_steps,cells,status,seconds
c1355,41,32,388 IMPLY + 132 INV,520 IMPLY + 132 ZERO,2732,766,418,PASS,0.7
c17,5,2,6 IMPLY + 4 INV,10 IMPLY + 4 ZERO,54,13,11,PASS,0.2
c1908,33,25,355 IMPLY + 141 INV,496 IMPLY + 141 ZERO,2621,684,361,PASS,0.7
c2670,233,140,533 IMPLY + 208 INV + 89 BUF + consts,741 IMPLY + 209 ZERO + 89 BUF,3914,1004,704,PASS,1.0
c3540,50,22,922 IMPLY + 263 INV,1185 IMPLY + 263 ZERO,6188,1684,811,PASS,1.5
c432,36,7,121 IMPLY + 61 INV,182 IMPLY + 61 ZERO,971,218,132,PASS,0.4
c499,41,32,387 IMPLY + 161 INV,548 IMPLY + 161 ZERO,2901,761,414,PASS,0.7
c5315,178,123,1315 IMPLY + 405 INV + 21 BUF,1720 IMPLY + 405 ZERO + 21 BUF,9005,2439,1301,PASS,2.3
c6288,32,32,1870 IMPLY + 512 INV,2382 IMPLY + 512 ZERO,12422,3731,1892,PASS,3.4
c7552,207,108,1386 IMPLY + 514 INV + 54 BUF,1900 IMPLY + 514 ZERO + 54 BUF,10014,2630,1450,PASS,2.7
c880,60,26,306 IMPLY + 95 INV,401 IMPLY + 95 ZERO,2100,543,296,PASS,0.6
